rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.816944,9.311959,-6.623621,-11.583192,False
2,BATTERY_EFF,η_bat,param,0.85,0.816944,9.311959,-6.623621,-11.583192,False
3,ETA_HOVER,η_hover,param,0.65,0.657084,7.372357,-5.544477,-9.878830,False
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.513477,-4.862184,5.386911,11.388426,False
5,T_HOVER,t_hover,input,60.0,0.390657,-3.804877,4.003081,8.226025,False
6,RHO_AIR,ρ_air,input,1.225,0.320525,3.484127,-2.876057,-5.299949,False
7,K_WING_B,k_wing_B,model,2.2854,0.249496,-2.516037,2.470920,4.907041,False
8,K_ESC,k_ESC,model,0.0003594,0.141230,-1.399205,1.425161,2.877270,False
9,K_MOTOR,k_motor,model,0.0002506,0.098466,-0.978310,0.990928,1.994810,False
10,AR_FIXED,AR,input,8.0,0.088275,0.969736,-0.779177,-1.418937,False
11,E_OSWALD,e_Oswald,param,0.8,0.088275,0.969736,-0.779177,-1.418937,False
12,K_ROTOR_A,k_rotor_A,model,0.7484,0.072521,-0.727416,0.722883,1.441674,False
13,CD0_ROTOR,CD0_rotor,param,0.012,0.068587,-0.687748,0.683933,1.364297,False
14,SIGMA,σ (solidity),param,0.13,0.068587,-0.687748,0.683933,1.364297,False
15,CD0_WING,CD0_wing,param,0.01,0.048261,-0.480188,0.485018,0.974937,False
16,K_WING_A,k_wing_A,model,-0.0802,0.023611,-0.236112,0.236114,0.472229,False
17,K_ROTOR_B,k_rotor_B,model,0.0403,0.013612,0.136149,-0.136097,-0.272142,False
18,KAPPA_MAX,κ_max,param,1.15,0.000000,-0.000000,-0.000000,-0.000000,False
