rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,T_HOVER,t_hover,input,60.0,2.241563,1.211782,0.5406,15,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,1.464002,1.627396,1.1116,15,KEEP
3,ETA_HOVER,η_hover,param,0.65,0.984641,1.176283,1.1946,15,KEEP
4,BATTERY_EFF,η_bat,param,0.85,0.560814,0.553947,0.9878,15,KEEP
5,RHO_AIR,ρ_air,input,1.225,0.526234,0.757426,1.4393,15,KEEP
6,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.458555,0.316246,0.6897,15,KEEP
7,AR_FIXED,AR,input,8.0,0.246741,0.232498,0.9423,15,KEEP
8,CL_MAX,CL_MAX (cruise CL),param,1.0,0.233288,0.212929,0.9127,15,KEEP
9,CD0_ROTOR,CD0_rotor,param,0.012,0.193702,0.302820,1.5633,15,KEEP
10,K_WING_B,k_wing_B,model,2.2854,0.178469,0.166661,0.9338,15,KEEP
11,K_ROTOR_A,k_rotor_A,model,0.7484,0.124161,0.091981,0.7408,15,KEEP
12,E_OSWALD,e_Oswald,param,0.8,0.121792,0.125586,1.0312,15,KEEP
13,SIGMA,σ (solidity),param,0.13,0.084722,0.171724,2.0269,15,marginal
14,K_ESC,k_ESC,model,0.0003594,0.083356,0.091066,1.0925,15,marginal
15,DL_MAX,DL_MAX (disk load.),param,55.0,0.063386,0.053341,0.8415,15,marginal
16,CD0_WING,CD0_wing,param,0.01,0.057197,0.129189,2.2587,15,marginal
17,K_MOTOR,k_motor,model,0.0002506,0.043829,0.036744,0.8384,15,marginal
18,K_ROTOR_B,k_rotor_B,model,0.0403,0.012651,0.015853,1.2531,15,FREEZE
19,K_WING_A,k_wing_A,model,-0.0802,0.010500,0.004136,0.3939,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
